channel	time	viewers	likes	dislikes	video_c
Соловьёв LIVE	1599411280.0189526	26612	5134	718	0
TV Rain	1599411310.5271711	40048	31378	1684	0
Соловьёв LIVE	1599411311.0472288	26671	5156	723	0
TV Rain	1599411341.5639195	39650	31388	1684	0
Соловьёв LIVE	1599411341.9998286	26707	5179	726	0
TV Rain	1599411372.5145395	39191	31405	1684	0
Соловьёв LIVE	1599411372.981062	26736	5189	727	0
TV Rain	1599411403.5065103	38748	31415	1685	0
Соловьёв LIVE	1599411403.97318	26675	5207	729	0
TV Rain	1599411434.4765263	38434	31424	1687	0
Соловьёв LIVE	1599411435.0130076	26571	5220	733	0
TV Rain	1599411465.4964013	38145	31438	1690	0
Соловьёв LIVE	1599411466.0089746	26552	5248	735	0
TV Rain	1599411496.5590305	37877	31445	1692	0
Соловьёв LIVE	1599411497.0280619	26598	5264	736	0
TV Rain	1599411527.5594501	37665	31454	1693	0
Соловьёв LIVE	1599411528.0300815	26673	5287	739	0
TV Rain	1599411558.5628352	37641	31463	1694	0
Соловьёв LIVE	1599411559.0330977	26725	5308	743	0
TV Rain	1599411589.6051316	37516	31468	1696	0
Соловьёв LIVE	1599411590.129738	26731	5325	748	0
TV Rain	1599411620.671492	37323	31481	1697	0
Соловьёв LIVE	1599411621.2967353	26621	5339	750	0
