clientId	timestamp	photo	authorName	message	value	is-member	channelId	channel	channel_name	video
CKXrtYOR6-sCFRPuVQodBksIRg2	1600172850455953	https://yt3.ggpht.com/-UKT2hOtMJkU/AAAAAAAAAAI/AAAAAAAAAAA/bYu2rr1gGl4/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	alex s	ГААГА ГОТОВЬСЯ ВСТРЕЧАТЬ ВЫСОКИХ ГОСТЕЙ 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CLOM1qKT6-sCFTJAegUdpzgH2w1600172852378	1600172853549921	https://yt3.ggpht.com/-9qXMrb5BSPo/AAAAAAAAAAI/AAAAAAAAAAA/yKjt8AgODy8/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Niko Refio	Ноги расставил и все финансируется, учитесь 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CPv2ppmU6-sCFYmBfAodNfYCog0	1600172853507783	https://yt3.ggpht.com/-MW2f2nImynI/AAAAAAAAAAI/AAAAAAAAAAA/Plib3LJhHxY/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	АЛЕКСАШКА и К	дождик, жги!!! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CJrB4u6Q6-sCFcyNfAod3-0MlQ-12	1600172855838231	https://yt3.ggpht.com/-P6Rk_e1edlY/AAAAAAAAAAI/AAAAAAAAAAA/M-fElr-JJTg/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Yuli CAESAR17	ПУТИНА СУДИТЬ. 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CICV18yT6-sCFcFtmwodyhcBrw1600172858188	1600172859433874	https://yt3.ggpht.com/-YxubWfPD1HE/AAAAAAAAAAI/AAAAAAAAAAA/cd4CgBi4FAY/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	RoM4nЬIcH	Боты и зомбаки, все понимают, что вы очень умные люди. А теперь можете покинуть чат и получить свои заслуженные 15 рублей. 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CMrXq5uQ6-sCFQ_zVQodc9UE8Q2	1600172860523257	https://yt3.ggpht.com/-Lt_JPA-goXo/AAAAAAAAAAI/AAAAAAAAAAA/Icmttj9BUdg/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Любовь Попилина	не показывайте эти рожи! смотреть противно. хочется крикнуть - дихлофоса скорей! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CIWAgOmR6-sCFYerVQodgfAHLA1	1600172860823093	https://yt3.ggpht.com/-fES_bbXmYfo/AAAAAAAAAAI/AAAAAAAAAAA/oLlF5MVRJAw/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Yupi Lalka	zagar prod вряд ли, там нет нормального губера, мера. Нодаже с ними, 70-80 % идут в Москву, а та потом подачки даёт жополизам. Но то что есть уже победа, эти депутаты помогут поднять больше людей 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CPrOhvmR6-sCFa2IfAod3u4HtQ1	1600172868967406	https://yt3.ggpht.com/-QPzRHBEQp7o/AAAAAAAAAAI/AAAAAAAAAAA/JBBceSlrXpc/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Ben Bortnik	Чё-т Лука в какой-то полуинтимной позе разместился в кресле... 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CPeLhvOT6-sCFYpnsgodi50PAQ1600205350203	1600172876241496	https://yt3.ggpht.com/-3dTxzrslbAY/AAAAAAAAAAI/AAAAAAAAAAA/D_imw49TptM/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	An drew	Кремль влаштовує в Рф режим за сценарієм фільму "Убить дракона"..дракон як відомо -царьбатюшка 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CLuSyvOR6-sCFQNisgodRVkHSQ-7	1600172880246025	https://yt3.ggpht.com/-lCy3MoE2KOA/AAAAAAAAAAI/AAAAAAAAAAA/QnqWJa6_jcA/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Сергей Волков	Финансирование диктатором других диктаторов - обычная практика. Наша Путана тратила миллиарды долларов на Чавеса и Мадуро. Помогал ещё Асаду. Что мы только проснулись что-ли? 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CJWIopCU6-sCFVJW4AodX2kG1Q1600172880162	1600172881116110	https://yt3.ggpht.com/-dwGx7u1cL9E/AAAAAAAAAAI/AAAAAAAAAAA/DEoGOfpqDw4/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Mehmet Ali Sahadinoğlu	А где Навальный ? 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CISOxIKP6-sCFY0O4AodgkIPxw1600172884658	1600172884898348	https://yt3.ggpht.com/-AtfF36IKlMA/AAAAAAAAAAI/AAAAAAAAAAA/DQlQAeFphzU/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Рудик177 Алмаев	ПУТИНИЗМ НЕ ЧАЙ, А КОФЕ УЖЕ ГОТОВИТ!!!😂😂😂 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CMXO9oGU6-sCFYREmwodXPsFZw-1	1600172885380320	https://yt3.ggpht.com/-uUfJBBWHfkg/AAAAAAAAAAI/AAAAAAAAAAA/io0c8BI8-w8/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Дилдо Иванович	У НЕГО УСЫ КАК У ТОРОКАНА 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CPbFiIyU6-sCFUrAVQod9eoAuA0	1600172887923371	https://yt3.ggpht.com/-yZnMn6xh8MY/AAAAAAAAAAI/AAAAAAAAAAA/xCjjp7yHur4/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	токи байков	ДА ГДЕ ЛЕЙДИ ГААГА ДЛЯ США АЛО🤷‍♀️🤷‍♀️🤷‍♀️🤷‍♀️ 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
